PMA_S6	PMA_S7	PMA_S8	PMA_S9	PMA_S10	MOTScPMA_S11	MOTScPMA_S12	MOTScPMA_S13	MOTScPMA_S14	MOTScPMA_S15
ABCA2	10.601176474382	10.6501924931966	10.5117534919145	10.5886544341707	10.6846837358128	10.6498939835572	10.6258691348795	10.6179556465469	10.6407178682279	10.5897521511265
ABCA3	7.61882900099632	7.89857893522244	7.52906038808285	7.7088130681163	7.66248457014334	7.66652386583439	7.62677990091722	7.72447883241464	7.71818184960716	7.6174998149194
ABCA4	0.0183610495118494	-6.64385618977472	-0.241759707872038	-6.64385618977472	-0.0301385387384011	-0.019291112903031	-0.0925374711927067	-6.64385618977472	-6.64385618977472	-6.64385618977472
ABCA5	7.04854886223875	7.41838114599229	7.26473549138012	7.20534346823487	6.98859083841966	7.03221255222036	6.99014285590558	6.90095790904507	7.27660805875716	7.05766312713288
ABCA6	3.81242792491958	3.11011336071625	3.32748008822739	3.88429492255843	4.12580585171154	4.2147178531464	3.89296873505867	3.78294457292652	4.38967815891757	4.20035881365751
ABCA7	7.49597877737635	7.77147258595684	7.59913512036647	7.71478668420661	7.81930424783246	7.70079210101147	7.56449884296691	7.90607757053729	7.55095435620785	7.7542295086129
ABCA9	6.27101912488831	6.07828142602474	6.4416854168716	6.08147005005383	5.78820533125278	5.69421225872582	5.31862358604041	5.80452207787568	5.65231102645512	5.6261307237278
ABCB1	4.91141582556035	5.10885967962682	5.54874287521968	5.00575725346983	4.99989929048461	5.8969925981111	5.50702440936614	5.91141884378319	5.73975699390172	5.44783191695324
ABCB10	9.09153504485652	9.35322383663093	9.0854021836933	9.19889134399836	9.09207177484845	9.23983259718274	9.20263455237649	9.0811307666922	9.14390274416586	9.3745212512857
ABCB11	3.59020663997368	3.69451880433539	4.54905104504364	4.32013915074799	4.47926314589783	4.13675850687013	3.79992407073859	4.53740501602116	3.52774469099961	3.66014710032042
ABCB4	8.75562319615367	8.59497871628341	9.01023437537222	8.7529902529137	8.65205761658653	8.9660419847557	8.91993306773563	8.90863060434923	9.02709123000852	8.88960222370895
ABCB5	3.00584295680229	3.98382280197093	4.44218324602717	3.38220159921762	4.12580585171154	3.55220601613449	3.70046238228353	3.10550137925996	2.07050046296459	3.37089406008587
ABCB6	4.91141582556035	4.22469060972321	4.13421895574949	4.0446567511851	4.6560662732265	4.05434458919543	4.84669507074583	4.24209032303482	4.4600347123614	4.72368190791532
ABCB7	8.56632624135933	8.48930347396492	8.59598538546172	8.64451376311884	8.60972718675838	8.56967745155345	8.72808166268904	8.62113653970079	8.64829818309643	8.67938928783821
ABCB8	6.34407336166031	6.63214895209756	6.636042541086	6.53747707549633	6.66944148514112	6.6243708571387	6.49207041160053	6.6400217671117	6.63706221034385	6.67544841597302
ABCB9	6.98143985593175	7.27845947472455	7.31102618107914	7.16227770868801	7.24976977201398	6.96612852840171	7.06203025782867	6.75930921500532	7.19644302697202	7.16545861944524
ABCC1	9.50789131202905	9.66560386428923	9.60063308615089	9.49977827254193	9.35595568008476	9.55661934355447	9.45616731458491	9.49099997324857	9.52651282477878	9.34425427243252
ABCC10	7.6114498470257	7.77147258595684	7.28806649016008	7.35818512881259	7.68304488494624	7.41730864996318	7.27579467905778	7.48933553530158	7.44218403512527	7.25495072529112
ABCC11	2.59140402662592	2.11178324262997	1.74538903546996	-0.187620331848231	3.12663200163586	0.973379723278338	1.48213330929884	2.59164639846426	0.0807680102565484	2.20271119475764
ABCC2	2.81345443888534	3.33226706963204	2.74323598546986	3.70385293491069	3.54125648508871	2.29089238093281	3.06364885662817	3.95275311625024	2.07050046296459	2.20271119475764
ABCC3	5.43064504481764	4.7719347079757	5.23331638597225	5.04421958421913	4.90973056984385	5.17586565839499	4.97991736081258	5.06772856043118	5.5592207454693	4.72368190791532
ABCC4	9.00688881727614	8.86780583278559	8.98189958332921	8.79306677613353	8.98850563183509	8.98840935395721	8.99268794530202	8.95185024694355	9.0443688922326	8.9776795802732
ABCC5	6.39653443904554	6.35654512915727	6.56141144210129	6.70288385941666	6.41465496619311	6.3755778361454	6.64702874714792	6.52351992544712	6.6965573654946	6.38957047936226
