CTL_S1	CTL_S2	CTL_S3	CTL_S4	CTL_S5	PMA_S6	PMA_S7	PMA_S8	PMA_S9	PMA_S10
AATK	5.98605299641427	6.24575197358471	6.00717553821105	6.26135379275287	5.74489158910919	6.04929530375083	6.11974939057969	5.9500714987217	5.83715783785518	5.9661368302359
AB015752.1	0.804286080573775	-0.0612346938358584	-6.64385618977472	-0.22961308198715	-6.64385618977472	1.73150041003257	-6.64385618977472	-0.12184040444295	1.93379591796632	1.67275765934632
ABAT	5.96615660023542	5.94623556369705	6.00717553821105	5.88289858935815	6.10176716861489	5.78630446702194	5.74784163124004	5.79337277368652	5.81291456883536	5.69825072111975
ABCA1	9.97716737919436	9.95431542982005	9.84021341226975	9.85929511120384	9.84838611569553	9.87182298435083	10.2108692496819	10.148945748104	9.90730981069969	9.83482284462951
ABCA10	5.88370801478216	5.6243659626961	5.74011708823624	5.58656134438776	5.55589542748549	5.69705381461658	4.90851824081053	5.41730177216536	5.28793618794008	4.99060744154947
ABCA12	5.00590324540901	4.62465839655904	4.7157342294606	4.50889238111325	4.66718796089133	4.6022125620319	3.66125106586522	4.81708346622516	4.51560822845416	4.94171348880954
ABCA13	4.49707954746428	4.31667533458585	4.02801371587905	4.21358050615543	4.37186112167747	4.66631707408102	4.24583340860755	3.77032355265632	4.32305325147044	4.6074169044596
ABCA2	10.7178503118305	10.7470093861197	10.7213987882384	10.694427383037	10.6657937749152	10.7393167112196	10.7868229302905	10.6330482571961	10.7228136943613	10.8128917510991
ABCA3	8.14477993814541	8.17634905573227	8.10992175291465	7.7923551403357	8.13095251320028	7.7569633839364	8.03520472040448	7.65034965159068	7.84296703667637	7.7906872755955
ABCA4	-6.64385618977472	-0.0612346938358584	-6.64385618977472	-6.64385618977472	-0.0730112380425258	0.155200871433709	-6.64385618977472	-0.12184040444295	-6.64385618977472	0.0968170100787238
ABCA5	7.27182759740344	7.1621392235417	7.36508625241685	7.24531925578242	7.32967472983423	7.18667999598115	7.55500477360099	7.38602348840093	7.33949487947552	7.11678993877415
ABCA6	3.79703907353268	3.83153806982977	3.66569628429114	4.27767703415906	3.91269078242516	3.95047524165057	3.2465936244179	3.44865975601647	4.01836825648289	4.25394434030234
ABCA7	8.04872072606782	8.00583892150259	8.32485464220469	7.85146562133476	8.01507610550862	7.63411256461874	7.90809786798088	7.72042468249999	7.84894067806948	7.94750757696687
ABCA9	5.88370801478216	6.19061782644204	5.81165728879603	6.21299718265021	6.12139313660627	6.40914315154408	6.2148933810647	6.56296759523808	6.21561122375845	5.91639189237769
ABCB1	2.79807659170384	1.51365775817632	2.66683265217395	2.9251966627224	3.2351935254508	5.04951313611875	5.24545315042862	5.6700135841608	5.1398774697651	5.12806971135048
ABCB10	9.36397877882326	9.4569840114796	9.46455483263952	9.44687869998179	9.55921007658964	9.22967371500058	9.48985309172944	9.20669560420292	9.33304925617272	9.22027828757101
ABCB11	3.60454225816138	4.38375662194689	5.24990070885051	4.7982837811028	4.30478010677653	3.72823834106173	3.83104935911134	4.67029691100784	4.45423510641661	4.6074169044596
ABCB4	6.92540252229941	6.73112448122778	6.67752400956531	6.67237576018081	6.94527260113365	8.89376123321037	8.73160659323162	9.1315276813415	8.88714737558954	8.78026332766692
ABCB5	3.70399886023716	4.01199109092771	3.76515616814855	3.75444046084909	3.81964523913126	3.1438200309712	4.12037165360756	4.56342529089883	3.51623881702784	4.25394434030234
ABCB6	4.3202851150342	4.96848874216482	4.7157342294606	4.7982837811028	4.37186112167747	5.04951313611875	4.36125213129241	4.25544826538632	4.17873921226251	4.78422637576989
ABCB7	8.64778581982384	8.70174553014897	8.79681575236636	8.77577179959251	8.75725591885633	8.7044638510846	8.62593109469879	8.71727794102811	8.77867065391337	8.73793280703573
ABCB8	7.14483091156825	6.97903055218973	7.3411088561465	7.23728246792304	7.14065346136979	6.48219823059923	6.76876705801292	6.75732640631577	6.67162337609332	6.79763819365388
ABCB9	7.46141858668896	7.62414659839227	7.63863621012693	7.48137226135609	7.55566540025638	7.11957051584561	7.41508232620159	7.43231441698296	7.29642885688939	7.37797047205768
ABCC1	9.7282325699921	9.68353947913921	9.63036150855941	9.59574005923664	9.59825166674109	9.64603058751558	9.80223350743603	9.72192714982325	9.63393659508353	9.48416256856051
