"names"	"baseMean.CTLvsPMA.all"	"log2FoldChange.CTLvsPMA.all"	"lfcSE.CTLvsPMA.all"	"stat.CTLvsPMA.all"	"pvalue.CTLvsPMA.all"	"padj.CTLvsPMA.all"	"baseMean.PMA_vs_MOTScPMA.all"	"log2FoldChange.PMA_vs_MOTScPMA.all"	"lfcSE.PMA_vs_MOTScPMA.all"	"stat.PMA_vs_MOTScPMA.all"	"pvalue.PMA_vs_MOTScPMA.all"	"padj.PMA_vs_MOTScPMA.all"
"ITPKB"	"ITPKB"	680.940543104938	0.00432798964551688	0.0510411832553964	0.0847940696018112	0.93242510833347	0.964873950997283	698.234140967021	0.313746844148933	0.0643756754744107	4.87368624619167	1.09534904731202e-06	8.44953650445601e-05
"KLF7"	"KLF7"	394.285851832264	-0.0163468891027032	0.0685897312076125	-0.238328519661686	0.811626303043503	0.899787244157621	318.73925192745	-0.352071042198355	0.0942534281899835	-3.73536590614717	0.000187442440105582	0.00548797382690085
"LPXN"	"LPXN"	98.5768750742252	-0.0511582378474616	0.129085486077344	-0.396312857487396	0.691874243240888	0.824111267109975	102.008171654533	0.38542455017525	0.126328594985278	3.05096839096616	0.00228104587088189	0.034404831960935
"MAP3K11"	"MAP3K11"	1140.09429815154	0.0315478883383625	0.0569853255826889	0.553614250963342	0.579842870912881	0.74184460446682	1119.4734641978	0.175217248388789	0.0563353351115207	3.11025483458884	0.00186925998529325	0.0302482063488188
"MAST3"	"MAST3"	409.807568584621	0.0333839898451546	0.0657918060319107	0.507418656799944	0.611861097821674	0.766851206250059	424.058830872071	0.310811647978739	0.0684484638586615	4.54081261225278	5.60378216641277e-06	0.000332683361850123
"MT-ND3"	"MT-ND3"	2857.86632575696	0.0152502291122265	0.0469553090791015	0.324781785304316	0.745346231085518	0.859344733641371	2834.82712668669	0.217283803764102	0.0585973122517614	3.70808481506027	0.000208832715627067	0.00588179771851026
"MYDGF"	"MYDGF"	637.209743368925	-0.0222994213146393	0.055896861425038	-0.398938701496586	0.689938371674649	0.823264134759046	615.384428944798	0.178589424165759	0.0585061933174173	3.05248750669603	0.00226953178209148	0.0343578742661374
"NDUFS6"	"NDUFS6"	435.716514777846	-0.0559194709905918	0.0942635717960165	-0.59322461397495	0.553030842108676	0.720848823216499	434.31187749051	0.295838534338445	0.0933341281873016	3.16967158834719	0.0015261132035626	0.0262711296211874
"NFATC3"	"NFATC3"	1002.95923057805	0.0384015864449311	0.0471924078506301	0.813723821138285	0.415803184457987	0.601778041296903	995.745809266823	0.198413534380362	0.0540923507625602	3.66805161142475	0.000244405855711036	0.0065486710586645
"NUDC"	"NUDC"	1528.49320927096	0.0319879426798724	0.0527540138206559	0.606360357500371	0.544275486704956	0.713912438398624	1513.55994027543	0.195362628158115	0.0539716922977351	3.61972396715664	0.000294917452718383	0.00754404547574088
